track_name,artists,streams,released_year
Double Fantasy (with Future),The Weeknd,96180277,2023
Double Fantasy (with Future),Future,96180277,2023
All Of The Girls You Loved Before,Taylor Swift,185240616,2019
PROVENZA,Karol G,885093467,2022
Princess Diana (with Nicki Minaj),Nicki Minaj,104992946,2023
Princess Diana (with Nicki Minaj),Ice Spice,104992946,2023
Di Que Si,Grupo Marca Registrada,147290338,2023
Di Que Si,Grupo Frontera,147290338,2023
Shivers,Ed Sheeran,1302184087,2021
Igualito a Mi Ap?,Fuerza Regida,158950978,2022
Igualito a Mi Ap?,Peso Pluma,158950978,2022
Shoong! (feat. LISA of BLACKPINK),TAEYANG,76910644,2023
Shoong! (feat. LISA of BLACKPINK),Lisa,76910644,2023
Komang,Raim Laode,137123880,2022
DESPECH?,ROSAL?,782369383,2022
Made You Look,Meghan Trainor,502574952,2022
Watch This - ARIZONATEARS Pluggnb Remix,sped up nightcore,207033255,2023
Watch This - ARIZONATEARS Pluggnb Remix,ARIZONATEARS,207033255,2023
Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,207033255,2023
No Se Va,Grupo Frontera,404887295,2022
Punto G,Quevedo,381161027,2022
Lovers Rock,TV Girl,466231982,2014
METAMORPHOSIS,INTERWORLD,357580552,2021
Mami Chula,Quevedo,61105704,2023
Mami Chula,Jhayco,61105704,2023
En Paris,El Chachito,198275403,2022
En Paris,Junior H,198275403,2022
Set Me Free Pt.2,Jimin,168448603,2023
I Was Never There,The Weeknd,705469769,2018
I Was Never There,Gesaffelstein,705469769,2018
Don't ever say love me (feat. RM of BTS),RM,34502215,2023
Don't ever say love me (feat. RM of BTS),Colde,34502215,2023
Shut Down,BLACKPINK,482175240,2022
Gato de Noche,Nengo Flow,304118600,2022
Gato de Noche,Bad Bunny,304118600,2022
Call Out My Name,The Weeknd,1449799467,2018
Like Crazy (English Version),Jimin,173627354,2023
Rosa Pastel,Jasiel Nu??ez,90025258,2023
Rosa Pastel,Peso P,90025258,2023
Sunroof,Nicky Youre,652704649,2021
Sunroof,Dazy,652704649,2021
Lose Yourself - Soundtrack Version,Eminem,1829992958,2002
Superman,Eminem,655466831,2002
Superman,Dina Rae,655466831,2002
Mas Rica Que Ayer,Mambo Kingz,146409671,2023
Mas Rica Que Ayer,DJ Luian,146409671,2023
Mas Rica Que Ayer,Anuel Aa,146409671,2023
People Pt.2 (feat. IU),IU,95816024,2023
People Pt.2 (feat. IU),Agust D,95816024,2023
REMIX EXCLUSIVO,Feid,117206995,2023
"Arc??ngel: Bzrp Music Sessions, Vol",Arcangel,100409613,2023
"Arc??ngel: Bzrp Music Sessions, Vol",Bizarrap,100409613,2023
DOGTOOTH,Tyler,80758350,2023
DOGTOOTH,The Creator,80758350,2023
10:35,Ti??sto,325592432,2022
10:35,Tate M,325592432,2022
SORRY NOT SORRY,Tyler,58473276,2023
SORRY NOT SORRY,The Creator,58473276,2023
HAPPY,NF,52722996,2023
La Bebe,Yng Lvcas,191945597,2021
I Know - PR1SVX Edit,Kanii,77377503,2023
I Know - PR1SVX Edit,PR1ISVX,77377503,2023
Late Night Talking,Harry Styles,743693613,2022
Le?,Mar??lia Mendo,267789608,2022
Save Your Tears (with Ariana Grande) (Remix),Ariana Grande,1221813483,2020
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,1221813483,2020
Something in the Orange,Zach Bryan,449701773,2022
VOID,Melanie Martinez,67070410,2023
Dijeron Que No La Iba Lograr,Fuerza Regida,116334601,2023
Dijeron Que No La Iba Lograr,Chino Pacas,116334601,2023
Midnight Rain,Taylor Swift,433356509,2022
If We Ever Broke Up,Mae Stephens,165584767,2023
You Proof,Morgan Wallen,367814306,2022
LA INOCENTE,Feid,477033549,2022
LA INOCENTE,Mora,477033549,2022
Malas Decisiones,Kenia OS,156214700,2022
Murder In My Mind,Kordhell,448843705,2022
Gangsta's Paradise,Coolio,1357608774,1995
Gangsta's Paradise,L.V.,1357608774,1995
CAIRO,Karol G,294352144,2022
CAIRO,Ovy On The Drums,294352144,2022
I Love You So,The Walters,972164968,2014
Dark Red,Steve Lacy,920045682,2017
Say You Won't Let Go,James Arthur,2420461338,2016
The Hills,The Weeknd,1947371785,2015
Heart To Heart,Mac DeMarco,244658767,2019
Peaches (from The Super Mario Bros. Movie),Jack Black,68216992,2023
Marisola - Remix,Duki,223582566,2022
Marisola - Remix,NICKI NICOLE,223582566,2022
Marisola - Remix,Cris Mj,223582566,2022
